ns,eficiencia,coc_medias
1,1,1
21,0.6558494482985039,1.000704913313687
41,0.6551244293001928,1.0008260248656629
61,0.6545334238805396,1.0001778836696442
81,0.6542249985592997,1.0007710386010027
101,0.6422984225509835,1.0017907096170933
121,0.6412193195752096,1.0015376404084866
141,0.6425443336882385,1.0009506133740727
161,0.6389507719823205,1.000846545629679
181,0.6395880815552286,1.0005995322283467
201,0.6441863669997069,1.0006337173939592
221,0.6373185585129638,1.0002144340081913
241,0.631651171919363,0.9997785925062559
261,0.6348688293538226,0.9998295452492869
281,0.6357349678228208,0.9999758701333491
301,0.6439130613980855,1.0002620945006855
321,0.6454038849390831,1.0001822981392747
341,0.6395973847056199,1.0001083682257506
361,0.6357990376339723,1.000035405996932
381,0.6315266957562915,1.000083377626794
401,0.6279159208558582,1.0000497757072562
421,0.6204460252865804,1.0000064487106766
441,0.6256897006897464,1.000032599507688
461,0.631926153346606,1.0000480578733284
481,0.6269315136126323,1.000190697257386
501,0.6297247860579368,1.0001338782477391
521,0.630981979405371,1.000261446751649
541,0.6322277444575859,1.000133044871297
561,0.6313503072261636,1.0001836909231245
581,0.6306488688786568,1.0001115755397618
601,0.6329018441707162,1.0002494780850215
621,0.6335673536497219,1.0000691322253414
641,0.6317331943447712,0.9999827979660356
661,0.6320853403326566,0.9999449908581008
681,0.6312661675620677,1.0000176403366159
701,0.6331537115800989,1.0001314642895225
721,0.6390793128597327,1.0002592988934806
741,0.6310053103187998,1.0000731425738072
761,0.6361816290486279,1.0001445698554452
781,0.6336061474943806,1.0001795556759054
801,0.6344265853159976,1.0001556471893904
821,0.6379230257668046,1.0000212138694133
841,0.6446369029939725,0.999966737628825
861,0.6382186739327949,0.999955305791772
881,0.6406217218986605,0.9998219807330794
901,0.641914048024242,0.9999771079713968
921,0.6443777414669926,1.0001255820605606
941,0.6465657145320173,1.0000534760976647
961,0.6462555749490841,0.9999965940171562
981,0.6428354504055863,1.0000467629629897
