"altura","genero","contextura_madre","altura_madre"
170.7,"M","bajita",154.2
163.7,"F","mediana",160.4
172.7,"M","alta",162.8
175.4,"M","mediana",160.2
170.7,"M","mediana",158.1
161.2,"F","alta",163.8
160.5,"F","mediana",161.7
151,"F","mediana",157
160.4,"F","mediana",160.6
170,"M","mediana",160.4
175.3,"M","alta",163.5
157.8,"F","mediana",161.3
153.6,"F","bajita",155.6
159.4,"F","mediana",160.5
160.6,"F","alta",163.1
173.6,"M","alta",163.1
159.3,"F","bajita",155.9
171,"M","mediana",158
160.5,"F","mediana",161.1
161,"F","mediana",159.6
173,"M","mediana",156.5
158.8,"F","mediana",159.8
161.7,"F","mediana",159
172.4,"M","mediana",156.6
155,"F","mediana",158
156.4,"F","mediana",160.2
172.1,"M","mediana",157.1
158.9,"F","mediana",159.3
162.2,"F","mediana",159.3
167.4,"M","mediana",157
158.5,"F","mediana",161.5
164.5,"F","alta",163.4
154.9,"F","mediana",156.7
177,"M","mediana",160.9
176.2,"M","mediana",159.6
172.1,"M","mediana",159.3
160.6,"F","mediana",156.4
152.7,"F","mediana",157.5
158.8,"F","alta",163.2
161.7,"F","mediana",160.5
154.7,"F","mediana",158.8
156.1,"F","mediana",157
171,"M","bajita",153.1
172.7,"M","alta",162.6
165.2,"F","alta",162.8
174.4,"M","mediana",159.6
163.6,"M","bajita",151.3
172.3,"M","mediana",156.8
154,"F","bajita",155.5
156.3,"F","mediana",157.9
167.4,"M","mediana",157.9
172.3,"M","mediana",158
169.1,"M","bajita",155.6
157.9,"F","mediana",159.5
160.1,"F","mediana",159.7
172,"M","mediana",160.7
158.8,"F","mediana",160.7
175.7,"M","alta",163.1
167.3,"M","mediana",158.6
170.7,"M","mediana",156.2
167.3,"M","mediana",156.1
173.9,"M","mediana",158.2
159.5,"F","alta",165.8
156.2,"F","mediana",158.5
178.6,"M","mediana",156.9
167.1,"M","bajita",153.5
156.1,"F","bajita",153.1
158.4,"F","alta",162.9
159.5,"F","alta",162.2
155.3,"F","bajita",151.4
156.9,"F","mediana",156.9
171.3,"M","mediana",159.8
160.2,"F","mediana",156.3
162.7,"F","alta",165.6
159.1,"F","mediana",156.9
174.9,"M","alta",162.1
160,"F","mediana",158.4
161.5,"F","mediana",157.9
155.8,"F","alta",162.1
170.9,"M","bajita",155.3
157,"F","mediana",157.8
169.1,"M","mediana",159
156.7,"F","bajita",152
165.2,"M","bajita",155.3
165,"F","alta",162.7
160.7,"F","alta",169.2
173.9,"M","mediana",157.8
162.5,"F","mediana",158.1
157.5,"F","alta",164.7
163.4,"F","mediana",158
171.6,"M","mediana",160.2
170.1,"M","alta",162.4
172.6,"M","mediana",158.2
158.3,"F","mediana",156.6
172.3,"M","mediana",161.2
169.5,"M","mediana",158.4
174.4,"M","mediana",157.8
164.7,"F","alta",163.4
172.9,"M","mediana",161.4
171.6,"M","alta",163.6
158.9,"F","alta",162.3
178.5,"M","mediana",162
160.9,"F","alta",166.3
173.9,"M","mediana",158.4
172.6,"M","mediana",157.6
170.7,"M","mediana",159.6
174.6,"M","mediana",160.5
155.9,"F","bajita",154.5
158.9,"F","mediana",156.8
173.6,"M","mediana",159.7
160.8,"F","alta",164.6
170.8,"M","mediana",158.1
171.7,"M","mediana",156.3
163.8,"F","alta",164
152.7,"F","bajita",154.8
151.3,"F","bajita",155
169.7,"M","mediana",157.4
157.2,"F","mediana",157.5
159.1,"F","mediana",157.5
168.3,"M","bajita",154.1
173,"M","alta",163.2
156.3,"F","mediana",161.8
168.9,"M","mediana",156.7
157.8,"F","bajita",154.5
162.7,"F","alta",164.4
158.7,"F","bajita",154.7
167.5,"M","bajita",155.8
157.4,"F","mediana",157
158.3,"F","alta",162.4
157.4,"F","mediana",157.1
173.4,"M","mediana",157.2
170.5,"M","mediana",161.7
171.3,"M","mediana",159.8
169,"M","mediana",159.3
156.9,"F","mediana",160.7
168.6,"M","bajita",154.3
